POI_NAME,POI_TYPE
Oracle Elevator Company,Office
Levy & Associates,Office
C&C Auto Repair,Retail
State Teachers Retirement System of Ohio,Office
Palmetto Construction Services,Office
Mariano & Bros. Drywall,Retail
Arch's Muffler Shop,Retail
Earl's Truck Sales & Services,Retail
Marburn Academy,Education
Vulcan Hart Company,Retail
Captain D's,Retail
Greater Columbus Antique Mall,Retail
Life Church,Public Places
NAPA,Retail
Latino Auto Glass,Retail
Trevitt New Life Ministries,Public Places
Short North Tattoo,Retail
Family Missionary Baptist Church,Public Places
Asymmetric Technologies,Retail
Lockbourne Express Drive Thru,Retail
Health & Wellness Medical Center,Medical
Lyman Law Offices,Office
H & R Block,Retail
J.B. Hunt Transport,Transportation
Ohio Federation of Teachers,Office
Miller's One More Bar,Retail
CalFit Bethel,Retail
Tobacco Shop At Central,Retail
Raising Cane's,Retail
Worthington Park Elementary School,Education
US Post Office,Government
Correct Custom Dry Wall,Retail
Ohio Union,Education
Chemical Abstracts Service,Industrial
Mid Ohio Development Corporation,Office
Buckeye Shapeform,Retail
Old Time Pottery,Retail
Hampton Inn & Suites Columbus Airport,Retail
The Container Store,Retail
Core Power Yoga,Retail
Elements Massage,Retail
European Wax Center,Retail
Candle With A Cause,Retail
DSS Services,Retail
Legacy Life Center,Public Places
3rd & State Lot,Transportation
James Cancer Hospital and Solove Research Institute,Medical
Extended Stay,Retail
Padova's Pizza,Retail
Strut the Salon,Retail
Windchimes,Retail
Busch House,Group Quarters
Alliance Data Card Services Building,Office
Eibling Hall,Education
Rhodes Hall,Education
Delaware Hall,Education
Columbus Hall,Education
State Farm Insurance,Office
Nationwide Insurance,Office
Insomnia Cookies,Retail
Fadam Up 2 Barbers,Retail
CHOP5 Salad Kitchen,Retail
Cabelas,Retail
Green Garage,Transportation
Yin Yue Restaurant,Retail
Trophie's Bar & Grill,Retail
King Avenue United Methodist Church,Public Places
Sprint,Retail
Dependable Power Systems,Industrial
KFC,Retail
Superior Motorcycle Products,Retail
Huntington National Bank,Office
Phoenix Recycling,Retail
Reliable Truck Parts,Retail
Gracehaven,Office
PNC Bank,Office
Columbus Bridge Center,Retail
Hazelbaker Industries,Industrial
E,Retail
New Haven Church,Public Places
Creative Housing,Office
Hanaa's Pizza & Subs,Retail
Sonshine Mission Church,Public Places
Arby's,Retail
Gladden Community House,Office
Ted's Auto Services,Retail
Technology Solution,Office
Average Joe's,Retail
Judah Tabernacle,Public Places
Ken Helmlinger Landscape Company,Retail
State of Ohio BMV,Government
School Employees Retirement System of Ohio,Office
Trattoria Roma,Retail
Nth Degree Transportation,Transportation
Columbus Museum of Art,Public Places
Mid Ohio DMA Marketing Consultant,Office
Sunshine Cleaning Center,Retail
New Covenant Believers Church,Public Places
Sears,Retail
All State Industries,Office
Shoe Show,Retail
Kroger,Retail
Steak Escape,Retail
Southwest Freewill Baptist Church,Public Places
Trinity Baptist Church,Public Places
Baker Brothers Flooring,Retail
Smoothie Bar,Retail
Dollar General,Retail
Sunshine Child Care And Learning Center,Education
Stone Mart,Industrial
Child Development Center,Education
AFL,Retail
Pharaoh's Pizza and Stromboli,Retail
China Jade,Retail
Sweep A Lot,Retail
National Auto Services,Retail
The Heritage Museum,Public Places
Environmental Enterprises,Office
Taco Bell,Retail
Los Amigos Auto Sales,Retail
Roosters,Retail
Simpson Strong Tie Co,Office
Amy M. Levine & Associates,Office
HoneyBaked Ham,Retail
Laird's Tax Service,Retail
World Market,Retail
Kroger Gas,Retail
Mary Jo's Carry Out,Retail
Express Packaging,Industrial
Howard's Barber Shop,Retail
Clear Channel Communications,Office
St. Paul's Lutheran Church & School,Public Places
James B Ford Dentist,Medical
Mr. Clippers Barber Shop,Retail
Living Hope Fellowship,Public Places
Dolores Hair Design,Retail
Redi Quik Signs,Retail
East Central Health Center WIC Clinic,Medical
Marcus Crosswoods Cinema,Public Places
Pizza Hut,Retail
Boost Mobile,Retail
The Tinder Box at Easton,Retail
Orange Barrel Media,Office
Gyro & Kabab House,Retail
McDonald's,Retail
White Castle,Retail
UPS Customer Center,Industrial
Penington's Auto Service,Retail
The Woods Lounge,Retail
Chico's,Retail
Del Baggio Pizzeria,Retail
Rally's,Retail
Jelly Bean Junction Learning Centers,Education
Amerisound Recording Studios,Retail
Holland Roofing,Retail
The Columbus Compact Corporation,Office
Staples,Retail
Legacy Roofing Services,Retail
Key Bank,Office
Total Services Unlimited,Office
Jack's Hair Design Center,Retail
32,Transportation
Cuzzins Frozen Yogurt,Retail
Genuine Auto Body Repair,Retail
Hardin Clinic,Medical
CBCS,Retail
South Cannon Garage,Transportation
American Residential Services,Retail
Santarelli's Barber Shop,Retail
Debby Day Care,Education
St. Luke's United Methodist Church,Public Places
Tim Hortons,Retail
AmericanHort,Office
Energy Rescue,Office
Tim Hortons,Retail
Auto Insurance Agency,Office
Prestres Services Industries,Industrial
Ohio Exterminating,Retail
Polaris Neighborhood Chiropractic,Medical
National K,Retail
Belvidere Mini Mart,Retail
American Commerce Insurance,Office
Scioto Pointe,Group Quarters
Capital Consulting,Retail
Swan Cleaners,Retail
Subway,Retail
Sleep Outfitters,Retail
Jersey Mike's Subs,Retail
Aramark,Office
Carquest Auto Parts,Retail
BioCare Orthopedic Prosthetics & Orthotics,Retail
US Bank,Office
Sunoco,Retail
Certified Oil,Retail
Greater St. Paul Church,Public Places
Quality Pest Control,Retail
Chase ATM,Office
Volunteers of America Thrift Store,Retail
Dawghouse Pizza Bar & Grill,Retail
The Open Shelter,Office
O'Reilly Auto Parts,Retail
Brink's,Retail
Faslube,Retail
The Crest Gastropub,Retail
Frank One,Office
Shadowbox Live,Public Places
Chase Mortgage,Office
Pizza Hut,Retail
AK Real Estate,Office
Bucks Smoke Shop,Retail
Columbus Police Central Headquarters,Emergency Response
Biomedical Research Tower,Medical
Central Service Building,Education
K C Men's Clothing,Retail
Bakery El Rico Pan,Retail
Microweld Engineering,Office
The New Vision Church of Columbus,Public Places
Sunlight Cleaners,Retail
Cooks IGA  Oakland Park,Retail
Blick Art Materials,Retail
Capital City Church,Public Places
Ohio Volunteer Peace Officers,Office
Spice World,Retail
Central Ohio Forklifts,Retail
CRC,Office
COSI,Public Places
BP,Retail
HK Motors,Retail
OEW Recycling,Industrial
Solutions Staffing,Retail
Maynard Ave Baptist Church,Public Places
Drywall & Insulation,Retail
McDonald's,Retail
Noodles & Company,Retail
Perfect Cuts,Retail
Monroe Alternative Middle School,Education
One Stop Beauty Shop,Retail
Aoki Manufacturing,Industrial
Stooges Bar,Retail
Zero's Pizza,Retail
Windsor STEM Academy,Education
Fishel Company,Office
Bolton Field,Transportation
Bobst Collision,Retail
Wags & Whiskers,Retail
Worthington Kilbourne High School,Education
One Day Bath Remodeling,Retail
DeArini's Grill,Retail
Lee's RV & Boat Storage,Retail
Delta Heating & Cooling,Retail
Advance America Cash Advance,Retail
House of God New Covenant Church,Public Places
Public Storage,Retail
Miller Truck Lines,Transportation
Dreese Laboratories,Education
Seema Spa & Salon,Retail
TownHomes Management,Office
Spiritus Tattoo,Retail
Sons of Italy Columbus Lodge,Office
Jack Maxton Chevrolet,Retail
Ferguson Fire & Fabrication,Office
Pascarti Hair and Nail Spa,Retail
Dancor Warehouse,Industrial
Skate Zone 71,Retail
St. Francis DeSales High School,Education
Physicians Weight Loss Center,Medical
Studio B Wellness,Retail
South Asian Bazaar,Retail
Exxon,Retail
Saint James Lutheran Church,Public Places
Binns Elementary School,Education
Kim's Korean Martial Arts,Retail
KFC,Retail
Kroger,Retail
Champion Middle School,Education
Affordable Uniforms,Retail
Nexeo Solutions,Industrial
Safelite Auto Glass,Retail
Levi's 4 Floors,Retail
North Star Booster Station,Industrial
FrontRoom Furnishings,Retail
Extra Space Storage,Retail
Animal House Kinnear Research Center,Education
Powerhouse Gym,Retail
24,Medical
H & R Block,Retail
Virtue Salon,Retail
ODU Book Store,Retail
Global Community United Methodist Church,Public Places
Digital Home Designs,Retail
God's Kidz Too Christian Learning Center,Education
Hilltop Educare Center,Education
Kroger,Retail
Pi Kappa Alpha,Group Quarters
VSP Global Regional Office,Office
Waffle House,Retail
Pizza Hut,Retail
Beechwold Diner,Retail
Kroger,Retail
Urban Media,Retail
Hard Times Body Shop,Retail
Fontana Laboratories,Education
Los Guachos,Retail
Erdey Searcy Eye Group,Medical
Donatos Pizza,Retail
United Car Lot,Retail
Liberty Tax Service,Retail
Boehringer Ingelheim Pharmaceuticals,Medical
Beautiful Nails,Retail
Pharaoh's Hookah Cafe,Retail
Chop Chop Tree,Office
Wright,Office
Columbus Auto Sales & Service,Retail
Identity Tattoo,Retail
Glass in Hilliard,Retail
Marathon,Retail
Thompson Creative Imaging,Office
Car Company Body Shops,Retail
Victoria's Secret,Retail
Columbus Rubber,Office
Container Port Group,Retail
Tlt Auto Services,Retail
Awesome Dealz,Retail
El Vaquero,Retail
Columbus Chiropractor,Medical
Blade Manufacturing Co,Retail
Buckeye Used Tire and Auto Service,Retail
RG Productions,Office
Ohio Distinctive Software,Office
P.F. Chang's,Retail
Club Mc Kinley,Retail
All Pro Overhead Door Systems,Retail
First Industrial Construction,Industrial
Institute for Behavioral Medicine Research,Medical
Ohio Custodial Maintenance,Office
Sikora Law,Office
Donald F Bowen DDS,Medical
Donley Plumbing,Retail
Circle Carryout,Retail
Renick Run Pump Station ST,Industrial
Sunoco,Retail
Polaris Automation,Industrial
State Convention of Baptists in Ohio,Public Places
NAPA,Retail
BP,Retail
Children's Discovery Place,Education
Epic Life Church,Public Places
Russack,Office
Quick Stop & ATM,Retail
Pet Palace,Retail
Central Ohio Eye Care,Medical
Honest,Retail
Hobbyland,Retail
US Post Office,Government
Superior Enterprises Unlimited,Industrial
Physicians Auto Group,Retail
Motorkars,Retail
Sunoco,Retail
The Northstar Cafe,Retail
Joseph Editions Art Gallery,Retail
Pelton Shepherd Industries,Retail
Savage Tan,Retail
Sunoco Logistics,Industrial
Famous Nails,Retail
Blue Cross & Blue Shield,Office
Convenient Plus Food Mart,Retail
Metro PCS,Retail
Blagio"s International Car Service,Retail
Things Remembered,Retail
Central Scenic,Retail
Tire City,Retail
Yoobsan Hala Market,Retail
Eckel's Market,Retail
Dubai Shop Grocery and Gift,Retail
Netwalk,Office
Grand Day Cafe,Retail
Comfy Couch Co Outlet,Retail
Ohio BMV License Services,Government
Key Bank,Office
Lapham Hickey Steel,Industrial
US Post Office,Government
Emmanuel Memorial Church,Public Places
Sunoco,Retail
Sutton & Associates,Office
Hurricane Systems Car Wash,Retail
Sportswear Supply Screen Printer,Retail
Tommy's Pizza,Retail
Yagoot,Retail
Residence Inn by Marriott Columbus Downtown,Retail
South Mifflin STEM Academy,Education
Tame Hair Studio,Retail
Aqua Spa Laser Wash,Retail
Clintonville Beechwold Community Resources Center,Office
Forest Park Elementary School,Education
Alternative Business Systems,Office
Central Ohio Bag & Burlap,Retail
Arts & College Preparatory Academy,Education
Panacea Products Corporation,Office
Dvine Kingdom Builders,Public Places
T E Martindale Enterprises,Retail
Capital City Scooters,Retail
Lindbergh Elementary School,Education
Mid,Retail
Resurrection Outreach International Ministries,Public Places
Salama Halal & Grocery,Retail
Conie Construction,Industrial
Columbus Fire Station 7,Emergency Response
I Candi Motors,Retail
LongHorn Steak House,Retail
Mobility Marketplace,Retail
PLS Check Cashing,Retail
New Era Academy,Education
Young's Tax Office,Retail
Fathers House,Public Places
Qdoba Mexican Grill,Retail
Enterprise Rent A Car,Retail
Aqui Check Cashing,Retail
Wendy's,Retail
ADAMH Board of Franklin County,Government
Haugland Learning Center,Education
FUSIAN,Retail
Greek Express,Retail
Shanes Gourmet Catering,Retail
Miracle Eyebrows,Retail
Sprint,Retail
Hallmark Gold Crown,Retail
Randstad Manufacturing & Logistics,Industrial
Marcella's Italian Kitchen,Retail
ODOT,Government
Marathon,Retail
Columbus Chinese Christian Church,Public Places
Karen Wickliff,Retail
Evans Adhesive Corporation,Office
Black Point,Retail
Double Happiness Lounge,Retail
Driveline 1,Retail
Dell Fixtures,Industrial
CVS,Retail
NY&C,Retail
CubeSmart Self Storage,Retail
Pi Beta Phi,Group Quarters
Loralie's Brownies,Retail
Ashland Performance Materials,Office
Sancus Carry Out,Retail
The Catique By Cat Welfare,Office
Kozy Inn Columbus,Retail
DSW,Retail
Saturday's,Retail
KMA Electric & Heating & Cooling,Retail
Mattress Firm,Retail
China King,Retail
Best Motor Werks Auto Repair,Retail
Critter Control,Retail
CGMA Liquidation,Retail
Columbus Controls,Office
Halo Academy,Education
Good Life Barber Shop,Retail
Kenwel Printers,Retail
Broad Street Bagels Deli,Retail
Royal Pharmacy,Retail
Panera Bread,Retail
Central Ohio Diesel,Retail
Exquisite Design Hair & Nails,Retail
Grandview Family Practice,Medical
Neighborhood Cleaners,Retail
Junior Achievement of Central Ohio,Education
Boyd's Barber Shop,Retail
ABM Building Solutions,Retail
CPR Cell Phone Repair,Retail
Rite Way Restoration,Retail
Niedax USA,Office
EMSS Market,Retail
C G's Auto Paint & Body,Retail
Dairy Queen,Retail
Hong Kong Restaurant,Retail
Northeast Chiropractic Clinic,Medical
Convenient Plus Food Mart,Retail
Saturday Liquidation,Retail
Parkwood Family Carry,Retail
First Refund,Office
Goodman Uniforms & More,Retail
Josie's Pizza,Retail
CSL Plasma Donation,Medical
Boys & Girls Clubs of Columbus,Office
Chipotle Mexican Grill,Retail
Jersey Mike's Subs,Retail
Elegant Nails,Retail
McDonald's,Retail
Design Collective Architecture,Retail
Top Driver Driving School,Retail
Central Ohio School of Diving,Retail
Hilliard Village Clubhouse,Office
Northland Preparatory And Fitness Academy,Education
Tru,Retail
St Joseph's Hospice,Office
Rhodes Hall,Education
Sullivant Avenue Communuty School,Education
Freedom Medical,Retail
Northend Wrench  Auto Repair,Retail
Kobacker House,Medical
Coastal Transportation,Transportation
Clark Family Dental,Medical
Coldliner Express / Specialized Express,Office
Zofkie Remodeling Group,Office
Vitamin Shoppe,Retail
American Auto Brokers,Retail
Buffalo Exchange,Retail
Kitchens & Bathrooms,Retail
VPT Management,Office
Twin Valley Behavioral Healthcare,Medical
Bobby Layman Chevrolet,Retail
Corbet,Retail
Ohio Gas & Appliance,Office
Longaberger Alumni House,Education
Waffle House,Retail
J & J Tax Services,Retail
Taylor Station Surgical Center,Medical
RCL Express,Transportation
Refuse Collection ,Government
Nick's Market,Retail
Huntington Bank,Office
Leipzig Haus,Retail
Kroger Gas,Retail
Fairfield Inn & Suites,Retail
US FAA,Government
Petco,Retail
Whole Foods Market,Retail
Zoup!,Retail
Buckeye Beverage Systems,Retail
Sims Bros Recycling,Retail
Three Sheets,Retail
Lincoln Swimming Pool,Public Places
Dollar General,Retail
PizzaRev,Retail
Givanni's Pizzeria,Retail
Tim Hortons,Retail
Schreiner Ace Hardware,Retail
Dollar General,Retail
White Castle,Retail
Anthony's Barber Shop,Retail
Bowen House,Group Quarters
Pizza Hut,Retail
L & E Stone and Kitchen Supply,Retail
Ena's Caribbean Kitche,Retail
Andy Callif Bail Bonds,Retail
LinenCarePlus,Retail
Tri Village Self Storage,Retail
"Hogan Services, Viking Properties",Retail
Rotolo's Pizza,Retail
T,Retail
Car Wash,Retail
Speedway,Retail
MadLab Theatre,Public Places
Jekyll and Hyde Hair Salon,Retail
Balanced Family Academy,Education
Dayspring Community Church,Public Places
Famous Footwear,Retail
Anheuser,Industrial
Caskey Cleaners,Retail
Electric Substation ,Industrial
Car Go & U,Retail
Stauffer's Painting Systems,Retail
Force Fed Industries,Industrial
Center for Balanced Living,Medical
TJ Maxx,Retail
Huntington Bank,Office
Brightside Academy,Education
Dr. Computer,Retail
Caring Hearts Home Health Services,Medical
Top Quality Auto Sales & Services,Retail
Frosty's Bar,Retail
Eddy's Chicken And Waffles,Retail
Fuzziwigs Candy,Retail
Aikido School of Central Ohio,Retail
Marathon,Retail
Giant Eagle,Retail
Smoky Row Brethren Church,Public Places
Sherman Studio Art Center,Education
Chronic Pain Resources,Medical
Action Auto Sales,Retail
Kaycan Limited,Retail
Action for Children,Office
Sunoco,Retail
Mobil,Retail
Tim Hortons,Retail
Mag City Tires,Retail
Psychosocial Rehabilitation,Medical
Rightmire Hall,Education
G & G Machine,Industrial
Replenish Spa,Retail
Foot Locker,Retail
Burger King,Retail
Economic & Community Development Institute,Office
Baumann Plumbing,Retail
Nature's Door,Retail
Gentiles The Wine Sellers,Retail
North Central Mental Health,Medical
Dressel & Evans Agency,Office
Turkey Hill,Retail
Williams Scotsman Mobile Offices,Office
Discount Tire,Retail
Silver Mini Mart,Retail
Dolab Used & New Tires,Retail
State Farm,Office
Ashtown African Market,Retail
Unisource Corp,Industrial
Christ Liberated Sabbath Msn,Public Places
Sears Parts & Repair Center,Retail
Staples,Retail
Wright,Office
Baytak Restaurant Middle Eastern,Retail
The Vape Spot,Retail
E,Retail
Suburban Propane,Retail
Walgreens,Retail
Dollar General,Retail
Union Savings Bank,Office
Gestalt Associates,Medical
Mr Good Wash,Retail
T Marzetti Co,Industrial
Apostolic Glorious Church,Public Places
Franklin Specialty Transport,Office
Nepali Mart,Retail
Wyandotte Winery,Retail
Easy Auto Repair,Retail
VFW Post 3424,Public Places
Franklinton Dental Group,Medical
Westerville Smiles,Medical
King J Fashion Beauty Supply,Retail
Pathways Financial Credit Union,Office
Dave Fox Design Build,Office
TAT Ristorante Di Famiglia,Retail
Bethel AME Church,Public Places
Family Dollar,Retail
Hem Auto Parts,Retail
Express Cellular,Retail
Chase Bank,Office
Columbus Police Substation 18,Emergency Response
Scott Laboratory,Education
Blue Star Barber Shop,Retail
Clepper Abigail DVM,Medical
Georg Manufacturing Systems,Industrial
Shell,Retail
Accurate Auto Brakes,Retail
Little Caesars,Retail
Redwood Development Center,Retail
Vogue Beauty Salon,Retail
Maybury Elementary School,Education
Trendline Salons,Retail
Catherines,Retail
Metro PCS,Retail
Toothman & Toothman Dental Group,Medical
American Signature Furniture,Industrial
Columbus Bible Way Church,Public Places
Columbus Auto Recycling,Retail
Westwood Preparatory Academy,Education
"Eat, Purr, Love Cat Cafe",Retail
BP,Retail
Center for Technology and Learning,Education
Discovery Learning Center,Education
Hayden Run Dentistry,Medical
K G R Auto Salvage,Retail
Professional Gutter & Drain,Retail
Kristal & Forche Orthodontics,Medical
Rapunzel's Long Hair Salon,Retail
Maeder,Retail
Fraternal Order of Police,Office
Graffiti Foods,Industrial
Joni and Friends Ohio,Office
Marathon,Retail
Pac,Office
Whittier Standby Tanks,Industrial
Martinizing Dry Cleaning,Retail
Bradley Hall,Group Quarters
Steven's Catering,Retail
E,Retail
Efco Coporation,Industrial
GNC,Retail
Caroselli's Outdoor Living and Landscape,Retail
Allied Auto Sales,Retail
Xenos Christian Fellowship,Public Places
Marlan J Gary Funeral Home,Retail
Cody Contracting,Office
Ann Taylor,Retail
Auto Connection & Services,Retail
Petco,Retail
Avalon Elementary School,Education
Shell,Retail
Oddfellows Liquor Bar,Retail
Sunrise Daycare Center,Education
GT Building,Education
Wireless Dealz,Retail
Towfiq Market,Retail
Panda Express,Retail
Marathon,Retail
State Liquor,Government
St Charles Fitness Center,Education
Hilti Center,Industrial
Little Spouts Early Education,Education
Aveda,Retail
American Medical Equipment,Medical
La Patrona,Retail
Save,Retail
PNC Cleaners,Retail
Planet Fitness,Retail
Stewart Jaffy & Associates,Office
Auto Body Collision & Glass,Retail
Shelly Materials,Office
"Camille, Psychic",Retail
M & R Wine Shop,Retail
Subway,Retail
World Martial Arts Academy,Retail
Fishinger Dental,Medical
The Church of Jesus Christ of Latter,Public Places
Grandma's Pizza & Pasta,Retail
Oodles Noodles & Dumpling Bar,Retail
Columbus Kayak,Retail
JP Flooring Design Center,Office
BP,Retail
St. Matthias Church,Public Places
DBall Communication Services,Retail
Office Evolution Columbus,Office
Powers Trucking,Transportation
Sunny Day Academy,Education
Piada Group,Office
Child Development Council,Office
Pentecostal House Of Prayer,Public Places
Local Waste Services,Retail
The House Bar,Retail
Clintonville Academy,Education
Ohio Cremation & Memorial Society,Retail
National Tire & Battery,Retail
Capital City Spay Neuter Clinic,Medical
Sakura Japanese Steakhouse,Retail
Magnolia Dental,Medical
Brazenhead Bar,Retail
Faith Community,Public Places
Matrix All Stars,Retail
Columbus Fire Station 1 & 9,Emergency Response
Zenith Academy,Education
Rimrock Corporation,Industrial
Davis Medical Research Center,Medical
Columbus Police Substation 4,Emergency Response
Faslube,Retail
SW Corner of Long & 3rd Lot,Transportation
Pepsi Cola East Buiding,Office
Catering Creations,Retail
South Hi Carryout,Retail
Realty National,Office
Corporate Cutting Dies,Industrial
Complete Child Care Columbus,Education
GFS Chemicals,Industrial
AT&T,Retail
Physical Plant,Education
On Site Auto Services,Retail
IBM,Industrial
La Michoacana,Retail
American LED,Retail
Sam Wiener Co,Office
CVS,Retail
Planet Fitness,Retail
Ashley Furniture HomeStore,Retail
United Construction Products,Industrial
Taco Bell,Retail
Party City,Retail
A Plus Home Health Care,Medical
Toys R Us,Retail
Dan the Baker,Retail
Royal Fish Shrimp & Chicken,Retail
NAI Global,Industrial
Electric Substation ,Industrial
Radiant Destiny Fellowship,Public Places
Smoke Plus 5 Beer Wine Grocery,Retail
Professionals for Women's Health,Medical
OTE Community Garden,Public Places
Waves Hair Design,Retail
Pet Concern Veterinarian,Medical
Lot 018,Transportation
Jacinto W. Beard DDS,Medical
Recovery Works Columbus,Medical
The Exotica Floral Shoppe,Retail
Brookside Motel,Retail
Ohio State Barns,Retail
Ephphatha Outreach Ministries,Public Places
Dr Cassady & Dr Presutto,Medical
Kroger,Retail
Pica USA,Industrial
Sherwin,Retail
Turn,Retail
Huy Elementary School,Education
Iglesia Evangelica Apostoles y Profetas,Public Places
Apria Healthcare,Medical
Chase ATM,Office
4 Luv of Children,Education
Columbus School District Bus Lot,Education
Netwalk,Office
Inner Health Chiropractic,Medical
Sign Vision,Retail
Wexner Heritage Village,Group Quarters
Dr Alex Alahakoon,Medical
Bradley Blair DDS,Medical
Distributor Service,Retail
ODOT Recruitment of CDL Drivers,Government
Poblano's Mexican Restaurant,Retail
Great Clips,Retail
J.D. Byrider,Retail
National Check Cashers,Retail
Tim Hortons,Retail
The Clock Tower Wedding & Reception Venue,Retail
Public Storage,Retail
Uncle Keith's Doggie Daycare,Retail
Polar Transport,Office
Brocon Construction,Office
Lloyd Cohen Law Offices,Office
Subway,Retail
Mid,Industrial
Mobil,Retail
State Farm Insurance,Office
Refrigeration Sales Corporation,Industrial
Michael Bosworth Photography,Retail
Keller Williams Realty,Office
Texas de Brazil,Retail
Too's Spirits Under High,Retail
Firestone Complete Auto Care,Retail
Creative Palette,Retail
ODNR ,Government
Masjid As,Public Places
Delmonte Tax & Business Services,Office
Bernard Electric Supply Company,Retail
Norton Road Drive Thru,Retail
Kabob Grill,Retail
Tommy's Diner,Retail
Platinum Auto Wash,Retail
Aids Healthcare Foundation,Medical
T,Retail
Avenue,Retail
Daceeas Hair Design Team,Retail
Transportation Supply Depot,Retail
Pier 1 Imports,Retail
Diana Deli,Retail
Save,Retail
Sound Investment,Retail
Franklin County Solid Waste,Industrial
Honnaman Automotive,Retail
We Love Hair,Retail
Columbus Square Bowling Palace,Retail
Buckeye Complete Auto Care,Retail
BMB Elite Auto Care,Retail
Unity Christian Fellowship,Public Places
Cancer Support Community Central Ohio,Office
Clay Cafe,Retail
Value City Furniture,Retail
U,Retail
Church Of The Living God,Public Places
Bullwinkles Night Club/Bar,Retail
Family Dollar,Retail
Borgata Pizza Cafe,Retail
OSU Plumb Hall,Education
Redeemer Assembly of God Church,Public Places
Pop's Printed Apparel,Retail
Nova Express Services,Office
Little Caesars,Retail
Aflah,Education
Chase Bank,Office
Burger King,Retail
Ross Wealth Advisors,Office
Ohio Wildlife Federation,Office
Champs Market,Retail
Great Clips,Retail
Chipotle Mexican Grill,Retail
West Side Transport,Transportation
Shannon Heights KinderCare,Education
Sherwood Middle School,Education
McDonald's,Retail
GoWireless Verizon,Retail
Curry N Grill,Retail
Express Laundry,Retail
Birchwood Foods,Industrial
Outdoor Sensations Landscape,Retail
Greater New Hope Deliverance Center,Public Places
Tu Estilo Salon,Retail
NAPA,Retail
Ziebart,Retail
The Crest Gastropub,Retail
Lion's Den,Retail
Hines Road Tank And Booster Station,Industrial
Directions AV,Retail
NetJets,Office
Andy's Towing Service,Retail
Gateway Self Storage,Retail
Park To Shop Market,Retail
True Religion,Retail
Sawbury KinderCare,Education
Red Robin,Retail
Tatoheads Public House Bar & Grill,Retail
German Village Chiropractors,Medical
Shell,Retail
Bob's Bar,Retail
CSL Plasma Donation,Medical
Friendly Community Church,Public Places
Mid,Office
Chipotle Mexican Grill,Retail
Cigs,Retail
Franklinton Development Association,Office
Sculpture Room Barber Salon,Retail
Sugar Lumps Cake Design & Supply,Retail
The Marketplace Rosa & Rocco's,Retail
Endoscopy Center Pharmacy,Medical
A A Wholesale Distribution,Industrial
Advance Auto Parts,Retail
Vital Companies,Retail
First Merchants Bank,Office
Whetstone Gardens & Care Center,Group Quarters
Emelio's Catering,Retail
Hair and Beauty Supplies,Retail
The Brass Tap,Retail
Edamame,Retail
T,Retail
Sephora,Retail
McMillen Paving & Sealing,Retail
Honey Dip Donuts,Retail
All in Bloom,Retail
Redefined Performance,Office
Medical Professional Plaza,Medical
Woodlands Tavern,Retail
Great Wall Chinese Restaurant,Retail
Phatt Taco,Retail
Subway,Retail
Trinity Assembly of God,Public Places
Five Star Nails,Retail
H R Gray & Associates,Office
Speedway,Retail
Linden Primary Care Center,Medical
Tim Hortons,Retail
Risk Management Solutions,Office
Westgate Car Wash,Retail
First A.M.E. Zion Church,Public Places
Pizzuti Company,Office
Arrow Lift,Retail
Jon Edwards Steel,Industrial
Lancaster Stone & Gravel,Retail
Barrel On High,Retail
Interior Supply,Retail
Gallos Tap Room,Retail
Walmart,Retail
2,Transportation
Giant Eagle,Retail
Aluminum Can Bank of America,Office
Wickes Body Shop,Retail
Knightsbridge Surgery Center,Medical
Aaron's,Retail
Rise High Treatment Services,Medical
Precious Moments Early Learning Academy,Education
International Beverage Works,Industrial
Bimbo Bakeries USA,Industrial
Game Stop,Retail
Men First Hair Designs,Retail
The Vape Room,Retail
Oh INID Training,Office
Aaron's,Retail
Dairy Queen,Retail
Graham Power Products,Industrial
Aggressive Mechanical,Retail
The Garden,Retail
Taco Bell,Retail
Eye Columbus,Medical
Turkey Hill,Retail
Starbucks,Retail
Eagle Auto Services Center,Retail
Making Waves Hair Design,Retail
Beth's Creative Stitchery,Retail
Alpha Xi Delta Sorority,Group Quarters
Loomis Armored,Office
Goodale Park Shelterhouse,Public Places
Five Guys,Retail
Jay's Sports Lounge,Retail
Extra Space Storage,Retail
The Bottle Shop,Retail
Federal Industrial Park,Industrial
Columbus Dance Theatre,Public Places
Postal Stuff,Retail
Elevator Brewery and Draught Haus,Retail
Taco Bell,Retail
Complete Resources,Retail
AVAIL Vapor,Retail
Gina's Tire Service,Retail
Harrison's on Third,Retail
Lucky Yee,Retail
Total Home Health Care,Medical
Supzilla,Retail
Accelerated Moving & Storage,Retail
North High Carry Out,Retail
J R J's Drive Thru,Retail
Blidsten Landscape Services,Retail
House of Safety Christian Church,Public Places
David C Mueller DDS,Medical
Chase Bank,Office
Xcel Martial Arts,Retail
Rascal Animal Hospital,Medical
Ohio Concrete Sawing & Drilling Contractors,Retail
Teemok Construction Company,Office
Budget Car Rental,Retail
General Power Equipment,Retail
The Douglass Bar & Grill,Retail
Wallpaper Outlet,Retail
Speedway,Retail
Speedway,Retail
Giggles & Blessings Learning Center,Education
Second Home Adult Daycare,Medical
Motel 6,Retail
UPS Freight,Industrial
Raw Material Hair Salon,Retail
Titan Logistics,Office
AFC Automotive Center,Retail
K T Automotive,Retail
United Dairy Farmers,Retail
Grace Christian School,Education
Rocky Trucking,Transportation
Lot 031,Transportation
